cve_id,year,cwe,cvss_v3,cvss_v3_severity,cvss_v2,cvss_source,threat_ids,overlap_flag
CVE-2024-47577,2024,CWE-319,2.7,LOW,,v3.1,P-20|P-22,true
CVE-2024-56142,2024,CWE-22,6.5,MEDIUM,,v3.1,P-20,false
CVE-2024-56800,2024,CWE-918,7.4,HIGH,,v3.1,P-20,false
CVE-2024-49785,2025,CWE-79,5.4,MEDIUM,,v3.1,P-20,false
CVE-2025-0719,2025,CWE-79,6.1,MEDIUM,,v3.1,P-20,false
CVE-2025-27496,2025,CWE-532,3.3,LOW,,v3.1,P-20,false
CVE-2024-9053,2025,CWE-502,9.8,CRITICAL,,v3.1,P-20,false
CVE-2025-30215,2025,CWE-287,9.6,CRITICAL,,v3.1,P-20|P-22,true
CVE-2025-4600,2025,CWE-444,7.5,HIGH,,v3.1,P-20,false
CVE-2025-20242,2025,CWE-284,6.5,MEDIUM,,v3.1,P-20,false
CVE-2025-20286,2025,CWE-259,9.9,CRITICAL,,v3.1,P-20,false
CVE-2025-48780,2025,CWE-502,9.8,CRITICAL,,v3.1,P-20|P-22,true
CVE-2025-47713,2025,CWE-269,8.8,HIGH,,v3.1,P-20|P-21|P-22,true
CVE-2025-47849,2025,CWE-269,8.8,HIGH,,v3.1,P-20|P-21|P-22,true
CVE-2025-4820,2025,CWE-770,5.3,MEDIUM,,v3.1,P-20|P-22,true
CVE-2025-4821,2025,CWE-770,7.5,HIGH,,v3.1,P-20|P-22,true
CVE-2025-24474,2025,CWE-89,2.7,LOW,,v3.1,P-20,false
CVE-2025-54122,2025,CWE-918,10.0,CRITICAL,,v3.1,P-20|P-22,true
CVE-2025-54381,2025,CWE-918,9.9,CRITICAL,,v3.1,P-20,false
CVE-2012-10021,2025,CWE-121,9.8,CRITICAL,,v3.1,P-20,false
CVE-2024-49790,2025,CWE-79,5.4,MEDIUM,,v3.1,P-20,false
CVE-2025-58048,2025,CWE-434,9.9,CRITICAL,,v3.1,P-20,false
CVE-2025-33116,2025,CWE-79,4.4,MEDIUM,,v3.1,P-20,false
CVE-2025-11675,2025,CWE-434,7.2,HIGH,,v3.1,P-20,false
CVE-2024-47569,2025,CWE-201,4.3,MEDIUM,,v3.1,P-20,false
CVE-2025-62409,2025,CWE-476,7.5,HIGH,,v3.1,P-20|P-22,true
CVE-2025-62719,2025,CWE-918,4.3,MEDIUM,,v3.1,P-20,false
CVE-2025-46366,2025,CWE-256,6.7,MEDIUM,,v3.1,P-20,false
CVE-2025-12613,2025,CWE-88,8.6,HIGH,,v3.1,P-20|P-22,true
CVE-2025-64504,2025,CWE-202,5.0,MEDIUM,,v3.1,P-20,false
CVE-2025-65019,2025,CWE-79,5.4,MEDIUM,,v3.1,P-20,false
CVE-2025-62703,2025,CWE-502,8.8,HIGH,,v3.1,P-20,false
CVE-2025-42876,2025,CWE-405,7.1,HIGH,,v3.1,P-20,false
CVE-2025-15015,2025,CWE-23,7.5,HIGH,,v3.1,P-20,false
CVE-2025-15016,2025,CWE-321,9.8,CRITICAL,,v3.1,P-20,false
CVE-2024-53253,2024,CWE-209,5.3,MEDIUM,,v3.1,P-20,false
